street_address,suburb,city,postcode,property_type2,bedrooms,bathrooms,garage_parks,offstreet_parks,Carparks,land_size,floor_size,year_built,last_rent_price,last_rent_date,days_on_market,agency,capital_value,land_value,improvement_value,valuation,land_use,development_zone,position,view,roof_construction,wall_construction,category,furnishings,furnishings_evidence,pets,garage,Latitude,Longitude
3 JOHN CAMPBELL CRESCENT,HILLMORTON,CHRISTCHURCH,8024,House,3,2,2,,2,643,,2008,775,30/07/2025,2,Grenadier Rent Shop Ltd,1120000,485000,635000,1/08/2022,Single Unit excluding Bach,Residential Suburban,,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2000/2009-average,partial,dryer;fridge;washing machine,,YES,-43.5510184,172.5922267
2/27 SHERBORNE STREET,ST ALBANS,CHRISTCHURCH,8014,House,3,3,2,,1,249,,2016,775,6/09/2025,4,Myrent.Co.NZ Ltd,850000,280000,570000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2010/2019-average,nill,unfurnished,,YES,-43.5193289,172.6374304
205 KNOWLES STREET,ST ALBANS,CHRISTCHURCH,8052,House,4,2,,2,2,670,150,1950,775,19/03/2025,50,Holmwood Property Management,980000,550000,430000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1950's-average,Fully Furnished,,,NO,-43.5018723,172.6312124
39 COMER STREET,HALSWELL,CHRISTCHURCH,8025,House,4,2,2,,2,509,157,2025,775,11/04/2025,7,A1 Property Managers Ltd,830000,390000,440000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-2020/2029-average,,,,YES,-43.5963344,172.5699997
6 Hawley Street,Halswell,Christchurch City,8025,House,4,2,2,,2,482,172,2024,775,17/09/2025,7,,860000,400000,460000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-2020/2029-average,,,Pets OK,Yes,-43.5965283,172.5632715
49 WHITBY STREET,BURNSIDE,CHRISTCHURCH,8053,House,4,1,,3,3,1363,173,1960,775,2/06/2025,253,First National Progressive,910000,620000,290000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1960's-average,nill,,,NO,-43.4985109,172.5662145
125C Colombo Street,Beckenham,Christchurch City,8023,House,4,2,2,,2,402,195,2005,775,19/07/2025,67,Keyhook,870000,430000,440000,1/08/2022,Single Unit excluding Bach,Industrial,Inside,No appreciable view,Tile Profile,"Roughcast,etc",Residential-Dwelling-2000/2009-average,Fully Furnished,,Pets OK,Yes,-43.5587644,172.6359719
14 CAMBERWELL PLACE,AVONHEAD,CHRISTCHURCH,8042,House,4,2,2,,2,635,,1970,775,10/06/2025,2,Grenadier Rent Shop Ltd,860000,610000,250000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Mix.Material,Residential-Dwelling-1970's-superior,nill,,,YES,-43.5226306,172.5506312
7 FLAGSTAFF PLACE,HALSWELL,CHRISTCHURCH,8025,House,4,2,2,,2,776,,2017,775,4/07/2025,7,Quinovic Riccarton,910000,450000,460000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-2010/2019-average,nill,,,YES,-43.5727805,172.5451066
24 GRASSMERE STREET,PAPANUI,CHRISTCHURCH,8052,House,5,3,,4,4,660,140,1945,775,14/07/2025,7,-,750000,640000,110000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Mix.Material,Weatherboard,Residential-Dwelling-1940's-average,nill,,,NO,-43.4930075,172.6141041
2/91 WESTMINSTER STREET,ST ALBANS,CHRISTCHURCH,8014,Townhouse,3,3,1,,1,135,124,2023,779,12/08/2025,68,-,760000,220000,540000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,partial,dining table;dryer;fridge;washer;washer/dryer,Pets OK,YES,-43.5065099,172.6355346
70 BROWNS ROAD,ST ALBANS,CHRISTCHURCH,8014,Townhouse,2,1,1,,1,101,120,2025,780,18/07/2025,7,-,750000,413414.6341,336585.3659,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1960's-average,,,,YES,-43.5081093,172.6248421
16 HILLARY CRESCENT,UPPER RICCARTON,CHRISTCHURCH,8041,House,3,1,1,,1,736,104,1950,780,1/07/2025,2,Holmwood Property Management,580000,395000,185000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1950's-average,nill,,,YES,-43.5367428,172.569945
31 HUDSON STREET,BRYNDWR,CHRISTCHURCH,8053,House,3,1,,2,2,647,122,1950,780,15/04/2025,7,Harcourts Gold Property Management,840000,500000,340000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-2020/2029-average,nill,,Pets OK,NO,-43.5006488,172.5945142
104 SUVA STREET,UPPER RICCARTON,CHRISTCHURCH,8041,House,3,1,,1,1,688,127,1950,780,29/07/2025,7,A1 Property Managers Ltd,690000,405000,285000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1950's-average,partial,fridge,,NO,-43.5352703,172.5786896
5 HANRAHAN STREET,UPPER RICCARTON,CHRISTCHURCH,8041,House,3,1,,2,2,610,133,1960,780,13/08/2025,29,Rentworks Property Management 2018 Ltd,750000,560000,190000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1960's-average,nill,,,NO,-43.5281713,172.5787723
2/979 Colombo Street,St. Albans,Christchurch City,8014,Townhouse,3,2,1,,1,156,145,2025,780,15/09/2025,9,Iron Bridge Property Management - Christchurch,950000,320000,630000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,partial,fridge;fridge/freezer,,Yes,-43.5177774,172.6364119
15 PAPAROA STREET,PAPANUI,CHRISTCHURCH,8053,House,3,2,,2,2,703,160,1925,780,5/09/2025,5,Bayleys Property Management Ltd,1270000,750000,520000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1914/1929-average,nill,,,NO,-43.5020153,172.6138299
3/11 Donald Place,Merivale,Christchurch City,8014,townhouse,3,3,1,1,1,81,161,2025,780,,,Metro Advances Limited,1000000,593406.5934,406593.4066,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,,,,Yes,-43.5115462,172.6243654
42 MONCKS SPUR ROAD,REDCLIFFS,CHRISTCHURCH,8081,House,3,2,2,,2,706,,2013,780,9/05/2025,7,Harcourts Gold Property Management,1090000,670000,420000,1/08/2022,Single Unit excluding Bach,Residential Hills,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-2010/2019-average,nill,,Pets OK,YES,-43.5645102,172.7372875
418 HALSWELL ROAD,HALSWELL,CHRISTCHURCH,8025,House,3,1,1,,1,969,,1960,780,16/05/2025,30,Myrent.Co.NZ Ltd,620000,420000,200000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1960's-superior,,,,YES,-43.5837028,172.5686825
40B SLATER STREET,RICHMOND,CHRISTCHURCH,8013,House,3,2,2,,2,457,,2022,780,22/06/2025,7,-,920000,275000,645000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2020/2029-average,partial,dryer;fridge;washing machine,,YES,-43.5156133,172.6537195
20 WOODLAU RISE,HUNTSBURY,CHRISTCHURCH,8022,House,3,2,2,,2,695,,1990,780,24/07/2025,7,Quinovic Merivale,1010000,420000,590000,1/08/2022,Single Unit excluding Bach,Residential Hills,Inside,Focal Point Of view - Other,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-1990's-average,nill,,,YES,-43.5686044,172.6494504
3/11 DONALD PLACE,ST ALBANS,CHRISTCHURCH,8014,Townhouse,3,3,1,,1,81,,2025,780,4/09/2025,6,Metro Advances Limited,1000000,540000,460000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,No,YES,-43.5115422,172.6242409
23A RUDLEIGH AVENUE,UPPER RICCARTON,CHRISTCHURCH,8041,House,4,1,,1,1,,100,1940,780,9/06/2025,22,Orbit Property Management,620000,330000,290000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1940's-average,nill,,,NO,-43.5301371,172.5784506
85 RATTRAY STREET,RICCARTON,CHRISTCHURCH,8041,House,4,1,,,,375,118,1930,780,3/04/2025,76,Sunshine Housing Ltd,620000,430000,190000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1930's-average,Fully Furnished,,Pets OK,NO,-43.5327886,172.5917645
165 HAREWOOD ROAD,PAPANUI,CHRISTCHURCH,8053,House,4,2,,1,1,,130,1950,780,10/03/2025,22,Fraser Flynn Property Management,620000,340000,280000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1950's-average,nill,,,NO,-43.4913876,172.5957507
51 Hounslow Street,Ilam,Christchurch City,8041,House,4,1,2,2,2,809,130,1960,780,19/09/2025,5,Unity Property Management Ltd.,700000,570000,130000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1960's-average,,,,Yes,-43.5128477,172.567431
15 Highland Place,Avonhead,Christchurch City,8042,House,4,1,2,2,2,607,140,1975,780,11/08/2025,44,myRent.co.nz Ltd,780000,600000,180000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1970's-average,Fully Furnished,,,Yes,-43.5177062,172.556431
15 HIGHLAND PLACE,AVONHEAD,CHRISTCHURCH,8042,House,4,1,,2,2,607,140,1975,780,1/09/2025,30,Myrent.Co.NZ Ltd,780000,600000,180000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1970's-average,Fully Furnished,,,NO,-43.5177062,172.556431
29 Twyford Street,Bishopdale,Christchurch City,,House,4,2,,1,1,433,151,,780,23/09/2025,1,Quinovic Riccarton,660000,330000,330000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1950's-average,,,,No,-43.4919146,172.5768563
5 GIRVAN STREET,FENDALTON,CHRISTCHURCH,8041,House,4,1,,2,2,,155,1952,780,25/07/2025,375,"Whittle Knight Real Estate Ltd, (Licensed: Reaa 2008)",880000,750000,130000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Corner,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1950's-average,nill,,,NO,-43.5253367,172.5980995
4 MYRTLE ROAD,WIGRAM,CHRISTCHURCH,8025,House,4,2,2,,2,503,157,2019,780,29/01/2025,7,Quinovic Riccarton,900000,520000,380000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2010/2019-average,nill,,,YES,-43.5618275,172.5450218
72 WHARENUI ROAD,UPPER RICCARTON,CHRISTCHURCH,8041,House,4,2,2,,2,343,170,2000,780,31/01/2025,7,-,760000,340000,420000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-2000/2009-average,nill,,,YES,-43.5355653,172.5867003
106 AORANGI ROAD,BRYNDWR,CHRISTCHURCH,8053,House,4,1,,4,4,1031,170,1950,780,12/02/2025,7,Rent Right Property Management Ltd,1000000,630000,370000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1950's-average,nill,,,NO,-43.5042207,172.5926185
8 TAURIMA STREET,HEI HEI,CHRISTCHURCH,8042,House,4,2,,2,2,703,170,1950,780,17/04/2025,162,Orbit Property Management Ltd,630000,430000,200000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1950's-average,nill,,,NO,-43.5386933,172.5198844
71 KEDLESTON DRIVE,AVONHEAD,CHRISTCHURCH,8042,House,4,2,,2,2,777,170,1990,780,7/06/2025,3,Orbit Property Management,770000,500000,270000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-1990's-average,nill,,,NO,-43.5104769,172.5486287
29A DELPH STREET,AVONHEAD,CHRISTCHURCH,8042,House,4,1,,1,1,926,170,1960,780,9/09/2025,12,"Glass Miles Ltd, (Licensed: Reaa 2008)",720000,495000,225000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1960's-average,nill,,,NO,-43.5149685,172.5550859
2/151 Yaldhurst Road,Upper Riccarton,Christchurch City,8042,house,4,1,2,2,2,568.1140625,172,1950,780,15/09/2025,9,Fraser Flynn Property Management,640000,590000,555882.3529,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1950's-average,,,,Yes,-43.5272568,172.5546369
21 TIMARA CRESCENT,MARSHLAND,CHRISTCHURCH,8083,House,4,2,2,,2,442,177,2025,780,3/04/2025,38,Grenadier Rent Shop Ltd,880000,410000,470000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-2020/2029-average,partial,fridge,No,YES,-43.4813159,172.6744526
6 Henridge Place,Avonhead,Christchurch City,8042,House,4,2,2,,2,509,178,2000,780,12/09/2025,12,Grenadier Rent Shop Ltd,730000,630000,100000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,"Roughcast,etc",Residential-Dwelling-2000/2009-average,partial,fridge,Pets OK,No,-43.5087991,172.5502863
2/5A MADELEY ROAD,MOUNT PLEASANT,CHRISTCHURCH,8081,House,4,2,2,,2,,190,1990,780,15/03/2025,7,Jeban Holdings Limited T/A Pukeko Rental Managers - Christchurch,940000,345000,595000,1/08/2022,Single Unit excluding Bach,Residential Hills,Rear,Focal Point Of view - Water,Tile Profile,"Roughcast,etc",Residential-Dwelling-1990's-superior,nill,,No,YES,-43.5712547,172.7207614
21 MIROMIRO STREET,BROOMFIELD,CHRISTCHURCH,8042,House,4,2,2,,2,447,190,2021,780,12/06/2025,1359,First National Progressive,990000,560000,430000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5294023,172.5373518
9 LAKE TERRACE ROAD,BURWOOD,CHRISTCHURCH,8061,House,4,2,2,,2,804,195,1908,780,13/03/2025,7,Birds Nest Property Management,870000,300000,155000,1/08/2022,Bach,Residential Small Settlement,Corner,Focal Point Of view - Water,Steel/G-Iron,Steel/G-Iron,Residential-Dwelling-1970's-poor,nill,,Pets OK,YES,-43.5003564,172.6831359
32 STROWAN ROAD,STROWAN,CHRISTCHURCH,8052,House,4,1,,1,1,607,196,1980,780,20/04/2025,7,Inspire Property Management,1140000,830000,310000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1980's-average,nill,,,NO,-43.5112969,172.6079508
58 Furlong Street,Yaldhurst,Christchurch City,8042,House,4,3,2,2,2,605,200,2025,780,17/09/2025,7,Unity Property Management Ltd.,920000,360000,560000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2020/2029-average,,,,Yes,-43.5214387,172.5189858
3 Tapper street,Wigram,Christchurch City,8042,House,4,2,2,2,2,533,204,2012,780,11/09/2025,13,Realtunity Property Management,950000,500000,450000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-2010/2019-average,nill,unfurnished,,Yes,-43.5542171,172.5445112
25 Reka Street,Parklands,Christchurch City,8083,House,4,2,2,1,2,754,219,2000,780,12/09/2025,12,"Ray White Metro Property Management (A J McPherson & Associates Ltd), (Licensed: REAA 2008)",970000,465000,505000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Corner,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-2000/2009-average,,,,Yes,-43.4755306,172.6805648
19A Lake Terrace Road,Burwood,Christchurch City,8061,House,4,2,2,2,2,760,240,1990,780,27/08/2025,28,Monopoly Property Management Limited,720000,330000,390000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1990's-average,,,,Yes,-43.4998512,172.6823606
8 GUSTO LANE,HALSWELL,CHRISTCHURCH,8025,House,4,3,2,,2,400,,2025,780,16/05/2025,3,Realtunity Property Management,980000,400000,580000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5862752,172.5742235
4 HAWKSWOOD PLACE,AVONHEAD,CHRISTCHURCH,8042,House,4,1,5,,5,607,,1970,780,26/05/2025,28,"Harcourts Gold Spitfire Square, (Licensed: Reaa 2008)",900000,600000,300000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1970's-superior,nill,,,YES,-43.5159705,172.5581659
40 KINSELLA CRESCENT,AIDANFIELD,CHRISTCHURCH,8025,House,4,2,2,,2,716,,2000,780,7/06/2025,7,-,900000,470000,430000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-2000/2009-average,partial,washer,,YES,-43.5661761,172.5690548
4 HUBBARD STREET,WIGRAM,CHRISTCHURCH,8042,House,4,2,2,,2,525,,2015,780,19/06/2025,7,Fraser Flynn Property Management,950000,510000,440000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2010/2019-average,partial,dryer;fridge;fridge/freezer;washing machine,,YES,-43.556276,172.5583458
1/30 ELIZABETH STREET,RICCARTON,CHRISTCHURCH,8041,,4,2,,1,1,1011,,,780,25/07/2025,296,"Whittle Knight Real Estate Ltd, (Licensed: Reaa 2008)",,,110000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1914/1929-average,nill,,,NO,-43.5349156,172.6018711
40 SELFE CRESCENT,BURWOOD,CHRISTCHURCH,8083,House,4,2,2,,2,607,,2023,780,12/08/2025,29,Fraser Flynn Property Management,1180000,475000,705000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2020/2029-average,partial,fridge;fridge/freezer,,YES,-43.4784086,172.6763435
12 REMPSTONE DRIVE,HALSWELL,CHRISTCHURCH,8025,House,4,2,2,,2,643,,1990,780,13/08/2025,61,Grenadier Rent Shop Ltd,830000,450000,380000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1990's-average,partial,washing machine,,YES,-43.5740621,172.5515947
19A LAKE TERRACE ROAD,BURWOOD,CHRISTCHURCH,8061,House,4,2,2,,2,760,,1990,780,27/08/2025,14,Monopoly Property Management Limited,720000,330000,390000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1990's-average,nill,,,YES,-43.4998512,172.6823606
16 Hillary Crescent,Upper Riccarton,Christchurch City,8041,House,5,1,,1,1,736,104,1950,780,1/07/2025,85,Holmwood Property Management,580000,395000,185000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1950's-average,,,,No,-43.5367428,172.569945
16 EDGEWARE ROAD,ST ALBANS,CHRISTCHURCH,8014,,5,2,3,,3,657,,2000,780,17/04/2025,65,Harcourts Asset Managers,1320000,730000,590000,1/08/2022,Multi-unit,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Multiple Dwellings-Mixed Age-average,nill,,No,YES,-43.5135277,172.633465
1/6 WHARENUI ROAD,UPPER RICCARTON,CHRISTCHURCH,8041,,6,1,1,,1,759,260,,780,25/07/2025,2,"Whittle Knight Real Estate Ltd, (Licensed: Reaa 2008)",,,275000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1940's-average,nill,,No,YES,-43.5315244,172.58597
1/43 BROCKWORTH PLACE,RICCARTON,CHRISTCHURCH,8011,Townhouse,2,1,,2,2,99,91,2025,785,19/08/2025,22,Myrent.Co.NZ Ltd,370000,300000,70000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-1970's-average,nill,,,NO,-43.5329899,172.6097627
