iter	Passed	Remaining
1612	89564	19434
1613	89641	19383
1614	89690	19326
1615	89739	19269
1616	89794	19213
1617	89860	19160
1618	89935	19109
1619	89988	19053
1620	90038	18996
1621	90128	18948
1622	90179	18891
1623	90225	18834
1624	90269	18775
1625	90313	18718
1626	90358	18660
1627	90401	18602
1628	90447	18544
1629	90500	18488
1630	90582	18438
1631	90642	18383
1632	90699	18328
1633	90743	18270
1634	90787	18213
1635	90849	18158
1636	90916	18105
1637	90974	18050
1638	91029	17994
1639	91075	17937
1640	91122	17880
1641	91182	17825
1642	91247	17771
1643	91303	17716
1644	91366	17662
1645	91422	17606
1646	91480	17551
1647	91538	17496
1648	91587	17439
1649	91632	17382
1650	91676	17324
1651	91721	17267
1652	91766	17209
1653	91815	17152
1654	91869	17097
1655	91933	17043
1656	91992	16988
1657	92050	16933
1658	92117	16879
