index,target_value,target_zscore,Bed_value,Bath_value,Car_value,Land Size (sqm)_value,Floor Size (sqm)_value,Year Built_value,Days on Market_value,Capital Value_value,Last Rental Price_value,Bed_zscore,Bath_zscore,Car_zscore,Land Size (sqm)_zscore,Floor Size (sqm)_zscore,Year Built_zscore,Days on Market_zscore,Capital Value_zscore,Last Rental Price_zscore
635,400.0,-1.5738333333333332,2,1,1.0,508.0,50.0,1915.0,7.0,300000,400.0,-0.6745,0.0,0.0,0.0,-1.5738333333333332,-1.4614166666666668,0.0,-2.1461363636363635,-1.5738333333333332
639,435.0,-1.2590666666666666,2,1,1.0,508.0,70.0,1975.0,7.0,375000,435.0,-0.6745,0.0,0.0,0.0,-1.1241666666666668,-0.11241666666666666,0.0,-1.68625,-1.2590666666666666
642,400.0,-1.5738333333333332,2,1,1.0,508.0,90.0,1975.0,7.0,320000,400.0,-0.6745,0.0,0.0,0.0,-0.6745,-0.11241666666666666,0.0,-2.0235,-1.5738333333333332
643,420.0,-1.3939666666666666,2,1,1.0,508.0,60.0,1975.0,7.0,335000,420.0,-0.6745,0.0,0.0,0.0,-1.349,-0.11241666666666666,0.0,-1.9315227272727273,-1.3939666666666666
646,420.0,-1.3939666666666666,2,1,1.0,658.0,90.0,1930.0,7.0,460000,420.0,-0.6745,0.0,0.0,0.9455607476635514,-0.6745,-1.1241666666666668,0.0,-1.1650454545454545,-1.3939666666666666
658,425.0,-1.349,2,1,1.0,508.0,80.0,1955.0,7.0,355000,425.0,-0.6745,0.0,0.0,0.0,-0.8993333333333333,-0.5620833333333334,0.0,-1.8088863636363637,-1.349
666,420.0,-1.3939666666666666,2,1,1.0,508.0,73.0,1970.0,7.0,350000,420.0,-0.6745,0.0,0.0,0.0,-1.0567166666666667,-0.22483333333333333,0.0,-1.8395454545454546,-1.3939666666666666
667,400.0,-1.5738333333333332,2,1,1.0,508.0,70.0,1970.0,7.0,350000,400.0,-0.6745,0.0,0.0,0.0,-1.1241666666666668,-0.22483333333333333,0.0,-1.8395454545454546,-1.5738333333333332
668,450.0,-1.1241666666666668,2,1,1.0,508.0,65.0,1960.0,7.0,375000,450.0,-0.6745,0.0,0.0,0.0,-1.2365833333333331,-0.44966666666666666,0.0,-1.68625,-1.1241666666666668
671,400.0,-1.5738333333333332,2,1,1.0,508.0,100.0,1980.0,7.0,410000,400.0,-0.6745,0.0,0.0,0.0,-0.44966666666666666,0.0,0.0,-1.4716363636363636,-1.5738333333333332
